account_id,country,created_at,age_days,is_business,kyc_risk,device_id,ip_id,balance_seed
acct_22d6c9a8e93f,NL,2025-03-05 02:20:25,25,0,0.7796056983613479,dev_shared_beb28a92ffa0,ip_shared_3dfab8532031,49.56
acct_218ccf971620,LT,2025-01-01 15:08:35,88,0,0.7977226245720831,dev_9d402c0aebcf,ip_shared_3dfab8532031,158.56
acct_b734358c0f71,NL,2025-03-16 03:04:12,14,0,0.6919015950331997,dev_shared_beb28a92ffa0,ip_shared_3dfab8532031,46.34
acct_5969580f8839,NL,2025-02-28 14:47:01,30,0,0.909505537860887,dev_shared_beb28a92ffa0,ip_b155d8b293c8,93.43
acct_6b84da218a77,NL,2025-02-06 18:02:56,52,0,0.6636630736878057,dev_shared_beb28a92ffa0,ip_0644e7804aad,79.82
acct_4da8c8462359,NL,2025-02-05 02:40:14,53,0,0.6643898768625045,dev_7cc3b2783100,ip_shared_3dfab8532031,39.41
acct_377d0045811a,DE,2025-01-29 02:19:22,60,0,0.749035472587924,dev_33852e82f0ad,ip_shared_3dfab8532031,14.31
acct_bca032927418,NL,2025-03-22 23:37:05,8,0,0.5130098600984361,dev_shared_beb28a92ffa0,ip_shared_3dfab8532031,36.83
acct_f01ec9c686f8,NL,2025-03-08 08:46:53,22,0,0.5984602655598691,dev_37e4c87851c8,ip_shared_3dfab8532031,68.03
acct_cebee1fa95a4,NL,2025-01-16 20:45:19,73,0,0.6110371109374546,dev_shared_beb28a92ffa0,ip_6350a5cc6938,20.32
acct_643cd3ffbd5e,NL,2025-01-22 07:44:25,67,0,0.8958778522705865,dev_269cfcf7b2d9,ip_c1df5f2c2ea4,46.62
acct_3d180a6ca771,FR,2025-01-04 02:47:56,85,0,0.7281033845625509,dev_shared_beb28a92ffa0,ip_shared_3dfab8532031,20.14
acct_121145e87a6b,NL,2025-03-11 16:51:41,19,0,0.654674073056978,dev_64f8b2883727,ip_shared_3dfab8532031,59.01
acct_4c96771cc812,NL,2025-02-14 13:12:08,44,0,0.5818807707093236,dev_shared_beb28a92ffa0,ip_46588c0b3cf0,71.02
acct_99ec6b61f0d2,NL,2025-03-14 12:40:06,16,0,0.6479233572097434,dev_608471ea2ebe,ip_shared_3dfab8532031,44.51
acct_0791ecb88f95,NL,2025-01-14 10:20:10,75,0,0.6477952065324724,dev_shared_beb28a92ffa0,ip_shared_3dfab8532031,199.66
acct_be0288fa48e9,NL,2025-03-02 22:03:18,28,0,0.7183803330314479,dev_9762931a8241,ip_55c1d06ca2ba,26.04
acct_ea2113b7e475,IT,2025-02-27 20:31:14,31,0,0.8187053894523827,dev_shared_beb28a92ffa0,ip_3b8d9ab8f045,23.23
acct_462945631ac1,LV,2025-01-01 01:19:57,88,0,0.7450636314005706,dev_shared_942a8bedfd7e,ip_shared_46a7c8fcf058,13.85
acct_55cd58e8b089,DE,2025-03-22 17:55:16,8,0,0.5606176741321883,dev_shared_942a8bedfd7e,ip_e1c5bbed49bd,62.66
acct_019f8cfe56eb,LV,2025-01-09 07:35:13,80,0,0.8086159895994492,dev_38ff7288131f,ip_c393f5006375,61.56
acct_51433995381a,LV,2025-01-13 05:02:35,76,0,0.7061222061134111,dev_shared_942a8bedfd7e,ip_0e3db33ee25f,44.22
acct_3a9359ceb259,LV,2025-02-28 21:27:58,30,0,0.5425773611559087,dev_shared_942a8bedfd7e,ip_99a03b26a2f9,32.99
acct_88cfca820516,LV,2025-01-20 12:42:57,69,0,0.6647233474848255,dev_shared_942a8bedfd7e,ip_bbc2c3566df7,114.43
acct_7e3d308d8852,LV,2025-02-20 06:02:20,38,1,0.7612341947482153,dev_shared_942a8bedfd7e,ip_shared_46a7c8fcf058,15.89
acct_66af0b30d90b,LV,2025-02-23 18:43:50,35,0,0.7588900763273754,dev_shared_942a8bedfd7e,ip_shared_46a7c8fcf058,41.7
acct_c8effdce395c,LV,2025-01-23 05:28:22,66,0,0.6387693599632849,dev_shared_942a8bedfd7e,ip_shared_46a7c8fcf058,83.78
acct_9c991475d169,LV,2025-01-28 00:53:56,61,0,0.8437199426995141,dev_shared_942a8bedfd7e,ip_shared_46a7c8fcf058,104.78
acct_b5402584a9c6,LV,2025-02-25 10:37:36,33,0,0.6192938972132833,dev_shared_942a8bedfd7e,ip_115b536238d6,43.97
acct_24224c0acb45,LV,2025-01-10 03:47:42,79,0,0.7597516117684276,dev_shared_942a8bedfd7e,ip_shared_46a7c8fcf058,108.08
acct_266cd9b1c15b,LV,2025-03-12 18:52:11,18,1,0.6624990914585652,dev_6260ac525348,ip_521c3b199c32,47.94
acct_331f3790f5de,LV,2025-03-12 16:51:38,18,0,0.5872398031192766,dev_a60e2aca410b,ip_shared_46a7c8fcf058,23.63
acct_b7dff1dba5b7,LV,2025-02-13 13:20:43,45,0,0.8175030986873038,dev_shared_942a8bedfd7e,ip_22560f3382be,141.09
acct_650296341dd6,LV,2025-01-08 07:39:34,81,1,0.7113587854103599,dev_9f11c4f6f3b5,ip_13d68e0a883e,110.22
acct_2fe1fd45f7fa,LV,2025-02-22 11:39:40,36,0,0.763396323005716,dev_897220934c5d,ip_3b503e920004,34.76
acct_05c316b635d6,LV,2025-02-17 03:37:33,41,0,0.7633674726610097,dev_14bf94e7b794,ip_d9a7452dbad0,160.23
acct_ec8b4375a280,PL,2025-01-22 03:16:47,67,0,0.7157008753068058,dev_dab0e12143a4,ip_shared_7fe1075d91cf,163.24
acct_a4a212fbf6f7,LV,2025-01-05 20:50:24,84,0,0.40563058750923064,dev_shared_beb28a92ffa0,ip_80cbc0d12bc9,97.06
acct_fad6c08ff828,LV,2025-02-19 07:19:34,39,0,0.7304456481885805,dev_shared_beb28a92ffa0,ip_590e3f9d7e82,44.29
acct_2c929f1e3abd,LV,2025-01-23 20:03:53,66,0,0.7310112931842603,dev_d89edcac6fb3,ip_c5e8b4ae0428,13.58
acct_563b4af18a3d,LV,2025-01-04 20:36:17,85,0,0.6936393734594986,dev_shared_beb28a92ffa0,ip_e886da7616ac,70.1
acct_66230894fb49,LV,2025-01-26 07:37:41,63,0,0.8973472853689819,dev_93618695fe06,ip_shared_7fe1075d91cf,37.99
acct_22f0d9d4fd67,LV,2025-03-07 05:09:05,23,0,0.6229807676528174,dev_shared_beb28a92ffa0,ip_2c590c01284c,38.43
acct_d7e45ba47086,LV,2025-01-01 21:42:23,88,1,0.8298482541242489,dev_12689a3dbe31,ip_35830a0a26e1,68.73
acct_988d90259488,GB,2025-03-01 09:18:44,29,0,0.6564287755479553,dev_cd376bd4d18c,ip_shared_7fe1075d91cf,78.2
acct_199838fe1211,LV,2025-01-30 01:36:10,59,0,0.7316493059217648,dev_04b40b3ca3de,ip_shared_7fe1075d91cf,107.56
acct_98a5ced0cefb,NL,2025-01-11 09:24:42,78,0,0.6357536287347176,dev_shared_dce74d6271a9,ip_shared_7fe1075d91cf,43.41
